ID,REGISTERED_AT,ALERT,STATUS,FELT,CDI,MMI
40955632,2024-10-17 18:44:19.070 Z,,automatic,,,
6000nyhn,2024-10-13 22:05:34.933 Z,,reviewed,,,
6000nyhv,2024-10-13 22:35:58.101 Z,,reviewed,,,
6000nyhx,2024-10-13 22:48:35.178 Z,green,reviewed,,,0
6000nyid,2024-10-14 00:53:06.258 Z,,reviewed,,,
6000nyim,2024-10-14 03:21:51.073 Z,,reviewed,5,2.7,
6000nyim,2024-10-14 03:21:51.206 Z,,reviewed,1,2.5,
6000nyjf,2024-10-14 07:40:09.894 Z,,reviewed,,,
6000nykg,2024-10-14 13:10:23.935 Z,,reviewed,,,
6000nykt,2024-10-14 13:30:09.151 Z,,reviewed,,,
6000nykv,2024-10-14 13:21:30.805 Z,,reviewed,,,
60592726,2024-10-14 02:07:21.230 Z,,reviewed,2,4.1,
60592726,2024-10-14 02:07:21.240 Z,,reviewed,1,4.1,
71462573,2024-10-14 02:47:54.070 Z,,reviewed,,,
71462583,2024-10-14 08:05:03.000 Z,,reviewed,,,
71462668,2024-10-15 14:00:15.990 Z,,reviewed,,,
74498941,2024-10-13 22:22:31.770 Z,,automatic,,,
74498981,2024-10-13 22:52:22.790 Z,,automatic,,,
74498986,2024-10-13 22:54:35.320 Z,,automatic,,,
74499006,2024-10-13 23:07:38.720 Z,,automatic,,,
74499011,2024-10-13 23:14:27.380 Z,,automatic,,,
74499031,2024-10-13 23:24:14.400 Z,,automatic,,,
74499136,2024-10-14 00:43:10.770 Z,,automatic,,,
74499186,2024-10-14 02:18:23.470 Z,,automatic,3,2.2,
74499211,2024-10-14 02:34:53.480 Z,,automatic,,,
74499501,2024-10-14 06:50:09.600 Z,,automatic,,,
74499676,2024-10-14 10:58:30.060 Z,,automatic,,,
74499686,2024-10-14 11:27:46.270 Z,,automatic,,,
74499756,2024-10-14 13:10:32.840 Z,,automatic,,,
74499906,2024-10-14 17:55:51.050 Z,,automatic,,,
74500636,2024-10-15 15:38:43.130 Z,,automatic,,,
75074046,2024-10-14 00:30:56.210 Z,,automatic,,,
75074051,2024-10-14 01:07:33.020 Z,,automatic,,,
75074071,2024-10-14 02:57:22.600 Z,,automatic,,,
75074076,2024-10-14 03:00:25.540 Z,,automatic,,,
75074081,2024-10-14 03:12:22.680 Z,,automatic,,,
75074096,2024-10-14 04:12:09.420 Z,,automatic,,,
75074111,2024-10-14 05:12:53.990 Z,,automatic,,,
75074121,2024-10-14 06:29:11.220 Z,,automatic,,,
75074136,2024-10-14 07:39:25.160 Z,,automatic,,,
75074141,2024-10-14 07:57:02.080 Z,,automatic,,,
75074156,2024-10-14 12:50:03.770 Z,,automatic,,,
75074161,2024-10-14 13:13:12.290 Z,,automatic,,,
75074176,2024-10-14 14:28:37.890 Z,,automatic,,,
75074186,2024-10-14 15:10:16.070 Z,,automatic,,,
75074211,2024-10-14 16:42:35.730 Z,,automatic,,,
75074216,2024-10-14 16:52:06.260 Z,,automatic,,,
75074521,2024-10-15 13:04:29.900 Z,,automatic,,,
75074531,2024-10-15 13:41:07.750 Z,,automatic,,,
75074541,2024-10-15 14:19:31.160 Z,,automatic,,,
75074546,2024-10-15 14:40:49.310 Z,,automatic,,,
75074571,2024-10-15 15:03:38.280 Z,,automatic,,,
75074576,2024-10-15 15:06:08.600 Z,,automatic,,,
75074581,2024-10-15 15:17:34.610 Z,,automatic,,,
75074586,2024-10-15 15:37:00.310 Z,,automatic,,,
75074591,2024-10-15 15:46:09.920 Z,,automatic,,,
75075531,2024-10-17 18:45:52.710 Z,,automatic,,,
80084536,2024-10-15 15:33:06.110 Z,,reviewed,,,
90063498,2024-10-14 17:18:03.860 Z,,reviewed,,,
