ID,REGISTERED_AT,MAGNITUDE,TSUNAMI,SIG,NST,DMIN,RMS,GAP
40953864,2024-10-14 05:00:50.210 Z,1.01,0,16,51,0.08585,0.15,34
40953872,2024-10-14 05:15:41.080 Z,1.46,0,33,33,0.01271,0.25,58
40953880,2024-10-14 05:59:40.540 Z,3.21,0,159,20,1.158,0.26,325
40953896,2024-10-14 06:52:43.440 Z,1.25,0,24,28,0.02692,0.14,61
40953904,2024-10-14 07:02:52.430 Z,1.03,0,16,59,0.08141,0.14,65
40953912,2024-10-14 07:16:58.640 Z,0.45,0,3,22,0.07462,0.11,44
40953920,2024-10-14 07:29:26.340 Z,0.81,0,10,27,0.1067,0.14,68
40953928,2024-10-14 08:45:01.720 Z,0.74,0,8,50,0.04496,0.2,54
40953936,2024-10-14 09:17:56.100 Z,0.47,0,3,29,0.08765,0.14,66
40953944,2024-10-14 10:07:14.090 Z,1.03,0,16,54,0.05633,0.15,63
40953952,2024-10-14 10:44:07.270 Z,1.52,0,36,16,0.01169,0.13,88
40953952,2024-10-14 10:44:07.430 Z,1.24,0,24,35,0.01308,0.24,57
40953960,2024-10-14 11:04:34.080 Z,1.08,0,18,41,0.03241,0.16,54
40953968,2024-10-14 11:07:15.270 Z,1.12,0,19,55,0.07789,0.23,57
40953976,2024-10-14 11:14:07.270 Z,1.1,0,19,14,0.03349,0.14,85
40953976,2024-10-14 11:14:07.290 Z,0.97,0,14,42,0.03732,0.2,30
40954000,2024-10-14 11:31:00.180 Z,0.65,0,6,36,0.1055,0.13,75
40954024,2024-10-14 13:23:27.100 Z,0.76,0,9,37,0.05486,0.15,35
40954040,2024-10-14 13:46:17.960 Z,1.3,0,26,30,0.1285,0.17,86
40954064,2024-10-14 14:39:59.520 Z,1.78,0,49,45,0.1307,0.13,34
40954496,2024-10-15 13:06:45.260 Z,1.51,0,35,72,0.03575,0.21,40
40954512,2024-10-15 13:18:35.810 Z,0.77,0,9,15,0.08721,0.14,118
40954520,2024-10-15 14:12:36.330 Z,1.79,0,49,35,0.1278,0.2,37
40955632,2024-10-17 18:44:19.070 Z,0.92,0,13,39,0.0182,0.14,45
6000nyhn,2024-10-13 22:05:34.933 Z,4.3,0,284,22,0.9,0.76,195
6000nyhv,2024-10-13 22:35:58.101 Z,4.6,0,326,37,12.807,0.76,184
6000nyhx,2024-10-13 22:48:35.178 Z,5.5,0,465,72,11.569,0.77,121
6000nyid,2024-10-14 00:53:06.258 Z,4,0,246,22,0.456,0.41,80
6000nyim,2024-10-14 03:21:51.073 Z,4.6,0,327,40,0.178,0.62,58
6000nyim,2024-10-14 03:21:51.206 Z,4.6,0,326,36,0.17,0.7,58
6000nyjf,2024-10-14 07:40:09.894 Z,4.9,0,369,102,1.423,0.76,34
6000nykg,2024-10-14 13:10:23.935 Z,4.6,0,326,48,0.804,0.88,187
6000nykt,2024-10-14 13:30:09.151 Z,4.1,0,259,21,4.495,0.61,111
6000nykv,2024-10-14 13:21:30.805 Z,4.6,0,326,48,2.004,0.66,122
60592726,2024-10-14 02:07:21.230 Z,2.67,0,110,33,,0.11,39
60592726,2024-10-14 02:07:21.240 Z,2.85,0,125,23,,0.140000001,48
71462573,2024-10-14 02:47:54.070 Z,2.51,0,97,8,0.02302,0.23,199
71462583,2024-10-14 08:05:03.000 Z,2.73,0,115,14,0.05935,0.13,192
